,Row,A (mean_all),B (mean_all),C (mean_all),D (mean_all)
247,D (ctrl_sub002_music),26.42661493926,25.8359440608251,3.74711300379028,87.6459161668132
248,A (ctrl_sub003_music),48.9875949260809,11.8543259713588,0.318350500420088,15.1251854619269
249,B (ctrl_sub003_music),15.4876399689938,80.1301781816713,32.1995626615881,59.8597085136389
250,C (ctrl_sub003_music),52.4834640120857,20.7433604966051,85.1289015620182,7.23182220054798
251,D (ctrl_sub003_music),72.5023530707729,42.4522454943793,41.7432028824239,92.0208130460151
252,A (ctrl_sub004_music),65.40118136285,59.2438299815097,60.9767673486124,77.2461856522599
253,B (ctrl_sub004_music),0.0193170505730809,49.9628870140109,2.91988158408367,30.3850674145004
254,C (ctrl_sub004_music),27.9749321935831,71.3161509964288,32.1082141808177,77.4876971131669
255,D (ctrl_sub004_music),41.8931667962012,23.8108953232313,8.40906328530976,91.8646486909352
256,A (ctrl_sub005_music),57.6830647996174,2.25401186242189,3.56803794516585,70.9147122705644
257,B (ctrl_sub005_music),5.61162274204737,65.171129267376,10.7117157251783,4.57702166688853
258,C (ctrl_sub005_music),87.2083986631054,34.5840475591748,82.6746946173588,45.9869493147072
259,D (ctrl_sub005_music),45.36713180006,78.6924430072518,54.1264223323638,80.9534833151871
260,A (ctrl_sub006_music),66.2538248431298,0.233293588068205,36.7381514183424,3.96208222411572
261,B (ctrl_sub006_music),0.405568605745244,63.2212542627726,53.7558274431591,0.612898321244441
262,C (ctrl_sub006_music),62.8067405236659,66.0774129814529,90.9681483475421,49.3768459993583
263,D (ctrl_sub006_music),45.7551333742899,32.2905356793125,14.2265524741296,95.5712464380113
264,A (ctrl_sub007_music),77.1294415107147,6.0805442358297,14.6943234112452,73.9646689192174
265,B (ctrl_sub007_music),41.9682521199277,86.7284837483896,78.6566423497875,54.4944078118813
266,C (ctrl_sub007_music),89.6464190878748,22.9039982369217,78.039137682368,36.5098584696776
267,D (ctrl_sub007_music),19.1102529727618,64.8832686647635,17.9191518389127,80.5923642026549
268,A (ctrl_sub008_music),86.7479401039762,36.3824305892596,63.7600241377752,67.6383636493168
269,B (ctrl_sub008_music),46.0984588722015,78.7646031008963,63.2606991805419,69.8076740737193
270,C (ctrl_sub008_music),47.293264079798,48.3419712326291,94.6433133892792,18.2705753459185
271,D (ctrl_sub008_music),50.8425345076177,15.6163760012558,8.19347974978249,88.4356579842698
272,A (ctrl_sub009_music),68.9217829445799,6.81404280940771,68.2196043392048,8.8063379390176
273,B (ctrl_sub009_music),1.08468634079183,81.7866499099364,48.6578516993307,8.1899564169601
274,C (ctrl_sub009_music),33.8427701214815,51.7406516135059,93.3377180113083,11.2678045581987
275,D (ctrl_sub009_music),57.4784247872798,48.680593549229,32.7897542865388,97.0473410342665
276,A (ctrl_sub010_music),71.0167491109008,6.24186093489527,11.907662895705,75.1381362445032
277,B (ctrl_sub010_music),8.58086328099846,89.4837815545367,63.9225577858273,18.9811120759513
