,Dataset,Subject,Group,Condition,MeanDuration_A,MeanDuration_B,MeanDuration_C,MeanDuration_D,MeanDurationAll,MeanOccurrence_A,MeanOccurrence_B,MeanOccurrence_C,MeanOccurrence_D,MeanOccurrenceAll,Coverage_A,Coverage_B,Coverage_C,Coverage_D,MeanGFP_A,MeanGFP_B,MeanGFP_C,MeanGFP_D,OrgTM_A->B,OrgTM_A->C,OrgTM_A->D,OrgTM_B->A,OrgTM_B->C,OrgTM_B->D,OrgTM_C->A,OrgTM_C->B,OrgTM_C->D,OrgTM_D->A,OrgTM_D->B,OrgTM_D->C,psi/ctrl
30,ctrl_sub204_meditation,sub204,meditator,meditation,0.067204,0.052027,0.054247,0.056352,0.057748,4.5388,3.6199,4.4762,4.6816,17.3165,30.3592,18.9027,24.3346,26.4035,6.7958,6.4827,7.1528,6.9029,6.2953,9.0105,10.8809,6.3757,7.6227,6.9187,9.1915,7.4417,9.2317,10.6396,7.1802,9.2116,ctrl
31,ctrl_sub205_meditation,sub205,meditator,meditation,0.054748,0.054704,0.057021,0.055995,0.055623,4.4645,4.394,4.4437,4.6759,17.9781,24.4558,24.0509,25.3169,26.1764,6.3567,6.4202,7.8172,7.189,8.1382,8.3469,8.3932,9.0888,7.0021,8.3237,7.3731,7.9295,9.3902,8.3237,8.4164,9.2743,ctrl
32,ctrl_sub206_meditation,sub206,meditator,meditation,0.044219,0.046384,0.047763,0.047314,0.046525,4.575,5.5956,5.3493,5.974,21.4939,20.274,25.9579,25.5226,28.2456,6.0337,6.4222,6.538,6.2189,7.0564,6.1795,8.142,6.9729,9.1441,9.9791,6.3466,8.5177,9.8956,7.8914,10.3549,9.5198,ctrl
33,ctrl_sub207_meditation,sub207,meditator,meditation,0.055271,0.043946,0.03882,0.03921,0.045152,6.7365,5.3534,5.0164,5.041,22.1474,36.9448,23.5537,19.6086,19.893,4.8148,4.5777,4.4389,4.5215,10.831,9.5306,10.0698,10.4662,6.9775,6.7238,10.0222,6.6445,5.9626,9.9271,6.692,6.1529,ctrl
34,ctrl_sub208_meditation,sub208,meditator,meditation,0.039336,0.038723,0.032885,0.035188,0.036653,7.5792,6.5117,6.286,6.9058,27.2827,29.708,25.1455,20.7941,24.3524,3.5857,4.0034,3.3567,3.6921,9.2876,8.3884,10.0604,8.6694,7.0114,8.1917,9.3719,6.6461,7.0535,9.7794,7.9387,7.6015,ctrl
35,ctrl_sub209_meditation,sub209,meditator,meditation,0.05665,0.061323,0.054402,0.052669,0.056453,4.2506,4.9654,4.1194,4.3784,17.7138,24.0769,30.3664,22.4395,23.1171,5.8605,5.703,5.6178,5.6128,9.2221,7.1164,7.6623,9.0271,9.2026,9.807,7.0189,8.9881,7.2529,7.9548,9.8265,6.9214,ctrl
36,ctrl_sub210_meditation,sub210,meditator,meditation,0.048385,0.04837,0.054428,0.050616,0.050477,4.6976,4.7865,4.8505,5.4763,19.8108,22.7664,23.1905,26.3272,27.7159,4.8029,4.8556,5.4122,4.981,7.2032,7.76,8.7659,7.4008,7.4367,9.3408,7.3648,7.5624,9.5384,8.9276,9.3946,9.3048,ctrl
37,ctrl_sub211_meditation,sub211,meditator,meditation,0.041143,0.041397,0.037122,0.037302,0.039283,6.6392,6.3589,6.2327,6.2257,25.4565,27.2556,26.2588,23.2024,23.2831,3.7068,4.2464,3.8868,3.7204,8.5754,8.5341,8.9608,8.9745,8.3964,7.6118,8.3001,8.3001,7.8871,8.8094,8.0936,7.5568,ctrl
38,ctrl_sub212_meditation,sub212,meditator,meditation,0.038484,0.038652,0.04004,0.041925,0.039879,6.0453,5.566,6.5104,6.9539,25.0757,23.3052,21.5462,26.0623,29.0864,4.8031,4.6202,4.9204,5.1917,6.5401,8.3393,9.2246,6.74,7.3683,8.068,8.6534,6.9399,10.3955,8.7106,8.7391,10.2813,ctrl
39,ctrl_sub213_meditation,sub213,meditator,meditation,0.055245,0.052188,0.049983,0.044066,0.050486,5.0503,5.0145,5.0681,4.6744,19.8073,27.8083,26.1372,25.3419,20.7127,8.4104,7.2391,7.6336,7.2555,8.7012,8.6107,8.1585,8.267,9.3705,7.652,9.1715,8.6469,7.7967,8.068,7.9957,7.5615,ctrl
